date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:10:10	6264/6264	---M--	200	added ('OK')	image/png	etag:%221878-5f5a4b0034800%22	http://3.37.186.116/assets/images/elements/header/header-6src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-6src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:11	3789/3789	---M--	200	added ('OK')	image/png	etag:%22ecd-5f5a4b0034800%22	http://3.37.186.116/assets/images/elements/header/header-7src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-7src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:12	5477/5477	---M--	200	added ('OK')	image/png	etag:%221565-5f5a4b0034800%22	http://3.37.186.116/assets/images/elements/header/header-8src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-8src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:16	24571/24571	---M--	200	added ('OK')	image/png	etag:%225ffb-5f5a4b021cc80%22	http://3.37.186.116/assets/images/elements/header/header-9src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-9src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:18	5690/5690	---M--	200	added ('OK')	image/png	etag:%22163a-5f5a4b021cc80%22	http://3.37.186.116/assets/images/elements/header/header-10src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-10src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:20	10124/10124	---M--	200	added ('OK')	image/png	etag:%22278c-5f5a4b021cc80%22	http://3.37.186.116/assets/images/elements/header/header-11src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-11src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:20	402303/402303	UR-M--	200	added ('Partial%20Content')	application/javascript	etag:%226237f-5e3661a1f9500%22	http://3.37.186.116/assets/js/vendor/tinymce.min.js	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/js/vendor/tinymce.min.js	(from http://3.37.186.116/vendor-uploads.html)
21:10:21	5063/5063	---M--	200	added ('OK')	image/png	etag:%2213c7-5f5a4b021cc80%22	http://3.37.186.116/assets/images/elements/header/header-12src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-12src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:21	2597/2597	---M--	200	added ('OK')	image/png	etag:%22a25-5f5a4b021cc80%22	http://3.37.186.116/assets/images/elements/header/header-13src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-13src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:22	4827/4827	---M--	200	added ('OK')	image/png	etag:%2212db-5f5a4b021cc80%22	http://3.37.186.116/assets/images/elements/header/header-14src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-14src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:22	6511/6511	---M--	200	added ('OK')	image/png	etag:%22196f-5f5a4b021cc80%22	http://3.37.186.116/assets/images/elements/header/header-15src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-15src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:22	3278/3278	---M--	200	added ('OK')	image/png	etag:%22cce-5f5a4b021cc80%22	http://3.37.186.116/assets/images/elements/header/header-16src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-16src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:23	497651/497651	UR-M--	200	added ('Partial%20Content')	video/mp4	etag:%22797f3-5e36619a58300%22	http://3.37.186.116/assets/video/video-placeholder.mp4	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/video/video-placeholder.mp4	(from http://3.37.186.116/index-demo6.html)
21:10:24	3958/3958	---M--	200	added ('OK')	image/png	etag:%22f76-5f5a4b021cc80%22	http://3.37.186.116/assets/images/elements/header/header-18src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-18src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:24	1932/1932	---M--	200	added ('OK')	image/png	etag:%2278c-5f5a4b021cc80%22	http://3.37.186.116/assets/images/elements/header/header-19src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-19src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:25	8543/8543	---M--	200	added ('OK')	image/png	etag:%22215f-5f5a4b021cc80%22	http://3.37.186.116/assets/images/elements/header/header-20src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-20src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:26	7598/7598	---M--	200	added ('OK')	image/png	etag:%221dae-5f5a4b021cc80%22	http://3.37.186.116/assets/images/elements/header/header-21src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-21src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:26	24482/24482	---M--	200	added ('OK')	image/png	etag:%225fa2-5f5a4b021cc80%22	http://3.37.186.116/assets/images/elements/header/header-17src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-17src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:26	5196/5196	---M--	200	added ('OK')	image/png	etag:%22144c-5f5a4b021cc80%22	http://3.37.186.116/assets/images/elements/header/header-22src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-22src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
21:10:27	4504/4504	---M--	200	added ('OK')	image/png	etag:%221198-5f5a4b021cc80%22	http://3.37.186.116/assets/images/elements/header/header-24src="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/elements/header/header-24src="{% static "{% static '\1' %}"	(from http://3.37.186.116/elements-header-styles.html)
